SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
COASTAL KARNATAKA,1901,1.8,0.6,10.7,52.4,81.6,960.9,991.2,606.4,108,120.5,104.9,17.8,3056.9,2.4,144.7,2666.6,243.3
COASTAL KARNATAKA,1902,3.2,0.3,4.9,10.2,54.6,698.4,1401.6,454.2,708.4,180.4,50.8,132.2,3699.2,3.5,69.7,3262.6,363.5
COASTAL KARNATAKA,1903,0.7,0,0,4.1,202.8,536.5,1405.5,593.8,304.4,185,79.3,5.3,3317.4,0.7,206.9,2840.1,269.6
COASTAL KARNATAKA,1904,2.4,0,4.8,23.7,93.2,1108.2,1070,465.6,245.3,127.2,0.7,0,3141.1,2.4,121.7,2889.1,127.9
COASTAL KARNATAKA,1905,0,0.2,0,6.4,83.1,767.3,777.3,586.9,172.9,222.2,36.1,0,2652.3,0.2,89.4,2304.3,258.4
COASTAL KARNATAKA,1906,23,0,0,0.5,29.8,593.6,1173.4,535,273.3,128.5,22.1,56.8,2836,23,30.3,2575.2,207.5
COASTAL KARNATAKA,1907,7,0,2.7,91.3,19,845.9,1166.3,1026.1,223.6,87.7,55.8,9.8,3535.2,7,113,3261.9,153.2
COASTAL KARNATAKA,1908,0,3.1,0.9,46.1,38,708.6,1904.9,766.6,128,56.8,2.5,0,3655.5,3.1,85,3508.1,59.3
COASTAL KARNATAKA,1909,4,1,3.7,6.3,200.1,943.1,1285.6,315.6,293.8,68.8,47.8,3.2,3172.9,5,210.1,2838.1,119.8
COASTAL KARNATAKA,1910,0,0,5,6.2,40.2,1042.2,589.5,651.2,441.7,177.8,67,0,3020.8,0,51.4,2724.7,244.8
COASTAL KARNATAKA,1911,0,0,0,3.2,71,749.5,830.1,538.3,110.3,160.8,41.6,17.5,2522.3,0,74.2,2228.2,219.9
COASTAL KARNATAKA,1912,1.1,0,0,30.5,64,787.6,1261.5,789.2,160.8,220.9,80.1,0.4,3395.9,1.1,94.4,2999.1,301.4
COASTAL KARNATAKA,1913,0,0.4,0.5,10.6,74.2,786.5,1048,410.7,161,339.1,1.2,4,2836.3,0.4,85.3,2406.3,344.3
COASTAL KARNATAKA,1914,0,0,0,7.2,36.9,743.2,1583.7,933.8,302.8,125.9,102.7,36.6,3872.7,0,44.1,3563.4,265.2
COASTAL KARNATAKA,1915,0.1,2.3,2,48.8,75.2,785,773.2,388.9,304,168.3,96.9,4.2,2648.7,2.3,126,2250.9,269.4
COASTAL KARNATAKA,1916,0,0,0.3,25.2,88.7,1051.4,633.5,617,587.8,208.7,255.2,0,3467.9,0,114.3,2889.7,463.9
COASTAL KARNATAKA,1917,0,29.8,7.1,10.2,52.6,1075.7,766.1,597.6,500.5,319.6,64.8,0,3424.1,29.8,70,2939.9,384.4
COASTAL KARNATAKA,1918,3.4,0.3,3.9,11.4,699.5,564.4,360.6,485.4,134.3,64.7,168.8,14.2,2510.9,3.7,714.9,1544.7,247.7
COASTAL KARNATAKA,1919,0,0,0,2.4,74.4,669.9,960.9,632.7,208.3,236.2,124,9.3,2918.1,0,76.8,2471.8,369.6
COASTAL KARNATAKA,1920,2.1,0,0.1,72.7,29.2,813.3,1107.5,464.7,133.5,129.8,36.3,0,2789.2,2.1,102,2519,166.1
COASTAL KARNATAKA,1921,13,0,3.5,62.4,18.6,699.4,871.9,841.6,327.1,128.6,41.3,0,3007.4,13,84.5,2740,170
COASTAL KARNATAKA,1922,6.5,3.1,0,44.8,123.4,763.1,1333.2,564.9,314.4,89.8,89.4,0,3332.6,9.7,168.2,2975.6,179.1
COASTAL KARNATAKA,1923,0.8,0.2,32.2,9.8,52.8,604.8,1627.2,1013.2,283.3,44.4,6.6,5.8,3681.1,1,94.7,3528.5,56.9
COASTAL KARNATAKA,1924,0,0,14.8,46,47.2,889.6,1515.4,602.7,282.7,94.4,30.8,5.2,3528.9,0,108,3290.5,130.4
COASTAL KARNATAKA,1925,0,0,17.1,20.8,176.6,1176.4,1117.2,733.7,81.5,213.2,27.7,17.2,3581.3,0,214.6,3108.7,258.1
COASTAL KARNATAKA,1926,12.3,2,0.1,7.3,15.3,686.3,976.4,850.3,258.7,143.6,4,0.1,2956.4,14.3,22.6,2771.7,147.7
